,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
500,Bon(Bonfleet Solutions),Financial Services,Seed,1140163,Pune,"Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",2018
501,Mamaearth,E-Commerce,Series A,4000000,Gurgaon,Mamaearth is an online retailer specializing in baby and toddler products.,2018
502,BabyChakra,Child Care,Series B,0,Mumbai,BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,2018
503,Belstar Investment and Finance Private Limited,Financial Services,Venture - Series Unknown,28000000,Chennai,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,2018
504,Naaptol,E-Commerce,Venture - Series Unknown,15000000,Mumbai,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",2018
505,Moonshine Meadery,Food and Beverage,Seed,0,Pune,Moonshine Meadery is a first craft meadery.,2018
506,Verzeo,E-Learning,Series A,5000000,Bangalore,Verzeo is anAI-focussed edtech startup.,2018
507,Haazri,Food and Beverage,Seed,182718,Mumbai,Haazri is a tea and snack quick service restaurant startup,2018
508,Connect India,Delivery Service,Angel,0,New Delhi,"To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",2018
509,Flyrobe,Fashion,Series B,3859012,Mumbai,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,2018
510,Scholify,,Pre-Seed,0,Bengaluru,Edutech,2018
511,Dream11,Fantasy Sports,Series D,100000000,Mumbai,"Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",2018
512,srJna,Education,Seed,0,Jaipur,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",2018
513,Nykaa,Beauty,Secondary Market,16517739,Mumbai,Nykaa.com is a premier online beauty and wellness destination,2018
514,Chaayos,Food and Beverage,Series B,11840149,New Delhi,Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,2018
515,Heelium,Fitness,Seed,0,Pune,Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,2018
516,LT Foods,Food and Beverage,Post-IPO Equity,20464455,New Delhi,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,2018
517,Multibashi,E-Learning,Seed,146175,Bengaluru,Free language learning platform.,2018
518,Cleardekho,Eyewear,Venture - Series Unknown,0,Ghaziabad,Uttar Pradesh based online eyewear marketplace.,2018
519,Dailyhunt,Information Technology,Series E,6000000,Bangalore,NewsHunt is a Bangalore based eBooks company.,2018
520,SlicePay,FinTech,Series A,14900000,Bengaluru,SlicePay is an AI based instant credit app for youngsters in India.,2018
521,Udaan,B2B,Series C,225000000,Bangalore,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",2018
522,Happyeasygo Group,Tourism,Series A,0,Haryana,HappyEasyGo is an online travel domain.,2018
523,Mombay,Food and Beverage,Seed,7500,Mumbai,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,2018
524,Droni Tech,Information Technology,Seed,511611,Mumbai,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,2018
525,Netmeds,Biotechnology,Series C,35000000,Chennai,Welcome to India's most convenient pharmacy!,2018
