,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
141,Boodmo,Automotive,Seed,1023223,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018
142,Khabri,Apps,Seed,0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018
143,MyNewCar.in,Automotive,Venture - Series Unknown,1000000,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018
144,HalaPlay Technologies,Digital Entertainment,Series A,5000000,Bangalore,A daily fantasy sports platform.,2018
145,PlanetSpark,E-Learning,Seed,233879,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018
146,WheelsEMI,,Series B,14000000,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018
147,Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,1498290,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018
148,OYO,Hospitality,Series E,100000000,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018
149,Quikr,Classifieds,Debt Financing,8039607,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018
150,Tabono,Sports,Seed,0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018
151,LearnApp,Banking,Seed,292349,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018
152,Shopkirana,E-Commerce,Venture - Series Unknown,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018
153,Fric Bergen,,Venture - Series Unknown,0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018
154,Articbot,Artificial Intelligence,Grant,17541,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
155,BuildSupply,Enterprise Resource Planning (ERP),Series A,3654367,Gurgaon,India’s most advanced ERP system for the real estate,2018
156,Fusion Microfinance,Banking,Series E,76010834,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018
157,Any time Doctor,Software,Angel,0,Chennai,Anytime Doctor is a Software company.,2018
158,Go Payments,Information Services,Corporate Round,0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018
159,Guiddoo World,Audio,Seed,800000,Mumbai,We build In-Destination Experiences!,2018
160,ION Energy,Energy,Venture - Series Unknown,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018
161,UnoTag,Artificial Intelligence,Pre-Seed,100000,Bangalore,SaaS to verify counterfeit,2018
162,CivilCops,Government,Pre-Seed,100000,Gurgaon,Gov-Tech,2018
163,Rockmetric,Information Technology,Grant,0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018
164,Classworks India,Education,,1462,Chennai,"Saas, Web App, Mobile App, School Education",2018
165,Snapmint,Consumer Lending,Seed,0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018
166,artbandhu,Digital Media,Pre-Seed,15000,Bangalore,Ai platform for Art and Creative Community,2018
167,Survaider,Business Intelligence,Seed,500000,Bengaluru,Stethoscope for customer feedback !,2018
168,Credy,Credit,Seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018
169,iChamp,E-Learning,Seed,5000000,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018
170,Qandle,Software,Seed,1200000,Gurgaon,A cloud-based HR management and employee engagement platform.,2018
171,Avishkaar Box,Children,Seed,730873,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018
172,Gegadyne Energy,Automotive,Angel,0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018
173,HyperXchange,E-Commerce,Series A,1000000,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018
174,Deftouch,,Seed,0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018
175,Doodhwala,Food Delivery,Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018
176,DronaHQ,Mobile,Angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018
177,FastFox,Rental,Series A,1461747,Gurgaon,FastFox: Market Network for Home Rentals (India),2018
178,BuyForexOnline,Travel,Seed,2000000,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018
179,Colive.in,Consumer,Seed,1800000,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018
180,Agricxlab Private Limited,B2B,Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018
181,Corefactors,,Seed,0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018
182,Fincash.com,Wealth Management,Seed,150000,Mumbai,A startup in the personal finance space in India .,2018
183,Pandorum Technologies,Biotechnology,Series A,3600000,Bengaluru,Bengaluru based biotech startup.,2018
184,Shirsa Labs,Education,Seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018
185,PetSutra,Veterinary,Seed,138866,Gurgaon,Gurugram-based Online petcare platform.,2018
186,Awaaz De,Internet,Angel,0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018
187,PinkBlue,Health Care,Seed,300000,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018
188,Eduvanz,Finance,Angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018
189,Rupeek,Financial Services,Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018
190,Backpacker Panda Holidays Private Limited,Tourism,Series A,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018
191,Shape (School Health and Physical Education),Education,Seed,200000,Pune,Physical education start up,2018
192,Placio,Hospitality,Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.,2018
193,Aviom India Housing Finance,Finance,Series A,2192620,New Delhi,Delhi based housing finance company.,2018
194,GenRobotic,Market Research,Seed,0,Trivandrum,A Robotic Company.,2018
195,HeyHolidays,Tourism,Seed,1000000,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018
196,Pratilipi,Digital Media,Series A,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018
197,SectorQube,Consumer Electronics,Seed,0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018
198,Food Memories,Food and Beverage,Seed,0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018
199,ZAMROO,Internet,Seed,0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018
200,Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.,2018
201,Creator’s Gurukul,Facilities Support Services,Angel,0,Gurgaon,A coworking space provider.,2018
202,Emflux Motors,Automotive,Seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018
203,Tricog Health Services Pvt Ltd,Health Care,Series A,4000000,Bangalore,Predictive Healthcare Analytics Company,2018
204,Scapic,Cloud Computing,Seed,500000,Bangalore,Virtual/Augmented Reality Start Up .,2018
205,6Degree,Fashion,Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018
206,Chrysalis (EZ Vidya),Education,Seed,0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018
207,Ekincare,Medical,Series A,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018
208,Streo,Music Streaming,Seed,0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018
209,Groww,Finance,Seed,120000,Kormangala,Groww offers a new way of investing money.,2018
210,Cell Propulsion,,Seed,102322,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018
211,Chezuba,Internet,Angel,20464,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018
212,Ontrack Technologies Pvt. Ltd,Retail,Seed,0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018
213,Wealthtrust,Finance,Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018
214,Faclon Labs,Cloud Computing,Seed,0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018
215,Awign Enterprises,Business Development,Seed,730873,Bangalore,Operations and manpower outsourcing startup,2018
216,CollPoll,Education,Seed,0,Bangalore,World-class Enterprise System for Education.,2018
217,Zyla Health,Health Care,Seed,0,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018
218,Hubhopper,Internet,Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018
219,Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018
220,Workflexi,Human Resources,Seed,146175,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018
221,Streak,Financial Services,Seed,328893,Bangalore,Algorithmic trading platform.,2018
222,Kuants,Financial Services,Seed,73087,Gurgaon,Algorithmic trading platform.,2018
223,NiYO Solutions,Finance,Series A,13200000,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018
224,Hippo Video,Customer Service,Seed,0,Chennai,A video recording and sharing software.,2018
225,Satvacart,E-Commerce,Seed,0,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,2018
226,Daaki,Health Care,Angel,0,Bangalore,Sports Nutrition startup,2018
227,Simulanis,Training,Seed,500000,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018
228,MY CHIRAAG CAB,Travel,Seed,1000000,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018
229,WOTU,Food and Beverage,Seed,0,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,2018
230,Flathalt,,Angel,50000,Gurgaon,FInd your Customized Home here.,2018
231,True Elements,Dietary Supplements,Seed,730873,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018
232,Trendlyne Technologies,Financial Services,Seed,200000,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018
233,Planys Technologies,Manufacturing,Series A,2049369,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018
234,HealthPlix,Fitness,Series A,3000000,Bangalore,HealthPlix is a healthtech startup,2018
235,dishq,,Seed,400000,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018
236,Entropik Technology,Artificial Intelligence,Seed,1100000,Bengaluru,The boundaries between Human and Machines are shrinking fast.,2018
237,myHQ,Collaboration,Series A,500000,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018
238,Trell,,Seed,1250000,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018
239,Kidovators (by GyanLab),Big Data,Seed,180000,Bangalore,Building future human capital through 21st Century Skills programs for K-12,2018
240,Log 9 Materials,Nanotechnology,Seed,438524,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,2018
241,VTION,Analytics,Seed,280655,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018
242,HousingMan.com,,Seed,1505599,Bengaluru,"New Apartments, Flats for Sale in Bangalore",2018
243,Steradian Semiconductors,,Seed,0,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018
244,RupeeCircle,Financial Services,Seed,584699,Mumbai,RupeeCircle is a new age finance company.,2018
245,Wooden Street,E-Commerce,Series A,1000000,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018
246,The Ken,Digital Media,Series A,1500000,Bengaluru,The Ken is India’s first subscriptions-only business news site,2018
247,SaffronStays,,Seed,2000000,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2018
248,Vebbler,File Sharing,Seed,0,Bengaluru,A personal network for close people,2018
249,Foyr,Home Decor,Series A,4200000,Pune,"Foyr.com is India's first online, automated interior designer",2018
250,MEngage,Health Care,Seed,175000,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018
251,Inner Being Wellness,,Angel,511611,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018
252,Kobster,E-Commerce,Seed,0,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,2018
253,Wishberry,Crowdfunding,Series A,1461747,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018
254,McXtra,Finance,Seed,1300000,Andheri,McXtra is a digital insurance broking startup.,2018
255,Magic Crate,Children,Seed,0,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",2018
256,SmartVizX,Software,Seed,1450000,Noida,It is a Virtual Reality Solutions StartUp,2018
257,MySEODoc,,Seed,0,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",2018
258,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,Seed,2923,Pune,Digital Marketing Agency,2018
259,Scale Labs,,Seed,1000000,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018
260,HungerBox,B2B,Series A,4500000,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018
261,Biryani By Kilo,Catering,Seed,1000000,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018
262,Wholesome Habits (EAT Anytime),Food and Beverage,Seed,500000,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018
263,GoBumpr,Automotive,Seed,600000,Mylapore,Car Service and Bike Service Mobile App,2018
264,Fixpocket,Computer,Seed,250000,Ahmedabad,Fixpocket is a internet-based startup.,2018
265,edureka!,Android,Series A,2000000,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018
266,Hashtag Loyalty Private Limited,Analytics,Seed,0,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018
267,Wow Express,Delivery,Series A,4500000,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018
268,ZunRoof,Environmental Consulting,Angel,242650,Gurgaon,ZunRoof is a rooftop focused solar startup.,2018
269,Eggoz,Food and Beverage,Angel,175410,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,2018
270,Sqrrl Fintech,Big Data,Seed,1000000,Gurgaon,Personal Finance,2018
271,GalaxyCard,Finance,Seed,0,Noida,GalaxyCard is a mobile based Instant credit card.,2018
272,IndiQube,Commercial Real Estate,Series A,15000000,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,2018
273,EGK Foods,Food and Beverage,Seed,292349,Mumbai,A food processing enterprise registered with StartUp India .,2018
274,NirogStreet,Apps,Seed,300000,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018
275,Pixr8,Digital Media,Seed,50000,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018
276,Nivesh.com,Finance,Seed,438524,Noida,Nivesh.com is a mass market mutual funds investment platform.,2018
277,Theranosis Life Sciences,Biotechnology,Seed,0,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,2018
278,Poshmiles Online Solutions Private Limited,Travel,Seed,0,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,2018
279,Reculta,Education,Seed,0,Noida,A campus recruitment solution provider.,2018
280,Orbo.ai,Internet,Seed,0,Mumbai,Orbo is a computer vision and deep facial technology company.,2018
281,Inntot Technologies,Consumer Electronics,Seed,0,Kochi,"Inntot Technologies, is a technology driven company.",2018
282,Zoctr Health,Apps,Seed,0,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,2018
283,Hey Deedee,Delivery Service,Seed,482376,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,2018
284,DigiConnectt Technologys,Information Services,Seed,125000,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018
285,Locus.sh,Big Data,Series A,4000000,Bangalore,Locus is an intelligent logistics automation platform.,2018
286,Sports Flashes Pvt. Ltd,Basketball,Seed,1000000,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018
287,Inc42,Media and Entertainment,Seed,0,New Delhi,Inc42 is one of the leading tech media publications of India.,2018
288,Picxy,Internet,Seed,130000,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",2018
289,Huddle,Consulting,Seed,300000,Haryana,A coworking incubator Company.,2018
290,Benepik,Human Resources,Seed,0,Gurgaon,HR Technology start-up.,2018
291,Cash Suvidha,Finance,Seed,1000000,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018
292,Smartcoin,Big Data,Seed,2000000,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2018
293,Carmel Organics,Agriculture,Series A,0,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018
294,Roadcast,,Angel,250000,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018
295,Printline Media(ThePrint),Digital Media,Seed,510150,New Delhi,A digital news platform.,2018
296,Creditas Solutions,Financial Services,Seed,0,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,2018
297,UrbanPiper,Software,Seed,0,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,2018
298,Doxper,Health Care,Seed,1052458,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,2018
299,i2ifunding,Crowdfunding,Angel,730873,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,2018
300,ShakeDeal,B2B,Seed,0,Bangalore,Home of B2B Commerce,2018
301,HelloVerify,Fraud Detection,Seed,0,Noida,HelloVerify is an online background check platform.,2018
302,Fasal,Agriculture,Seed,120000,Bengaluru,Climate Smart Precision Agriculture Platform,2018
303,CoinGeto,Cryptocurrency,Seed,1754096,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,2018
304,Avail Finance,Finance,Series A,17200000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,2018
305,Tripeur,Information Technology,Seed,600000,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,2018
306,Wedeterna,Wedding,Angel,0,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",2018
307,Stumagz,Digital Media,Seed,0,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,2018
308,Doubtnut,E-Learning,Seed,511611,Gurgaon,Gurgaon based E-learning platform.,2018
309,MCaffeine,Consumer Goods,Seed,467759,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2018
310,TrustCheckr,Information Technology,Angel,100000,Bengaluru,A Bengaluru-based fraud analytics solution provider .,2018
311,HealthAssure,Fitness,Seed,1000000,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,2018
312,Picture TIme,Digital Entertainment,Seed,3654367,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,2018
313,1Crowd,Crowdsourcing,Angel,3500000,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,2018
314,Aarav Unmanned Systems,Delivery,Seed,0,Bangalore,Professional Drones for Enterprise Applications,2018
315,Wellthy Therapeutics Pvt Ltd,Health Care,Seed,1973358,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",2018
316,Nua,Consumer Goods,Seed,0,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018
317,Kuvera.in,Financial Services,Angel,250000,Bangalore,An online platform for mutual fund investments.,2018
318,Livehealth,Health Care,Seed,1100000,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,2018
319,Gramophone,Farming,Seed,1000000,Indore,An agricultural inputs startup Company.,2018
320,Ora,Business Travel,Seed,0,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,2018
321,Buddy4Study.com,Career Planning,Series A,3000000,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,2018
322,Predible Health,Medical Device,Seed,0,Bangalore,Healthcare devices for cancer detection,2018
323,Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Seed,0,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",2018
324,Blueleaf Cyberspace Systems,Internet,Seed,0,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.,2018
325,Toffee,,Seed,1500000,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",2018
326,ORO Wealth,,Series A,1600000,Mumbai,Online wealth management platform,2018
327,HealWell24,Dental,Seed,200000,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",2018
328,Acko General Insurance,Financial Services,Series A,12000000,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,2018
329,arzooo.com,Consumer Electronics,Seed,219262,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,2018
330,Bonphul Air Products,CleanTech,Angel,292349,Delhi,A clean tech product Company,2018
331,DheeYantra Research Labs,Artificial Intelligence,Seed,0,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",2018
332,Edyoo,Education,Seed,1000000,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",2018
333,Chtrbox,Advertising,Angel,146175,Mumbai,Chtrbox connects social media influencers with brands .,2018
334,Aashiyaan Housing and Development Finance,Financial Services,Seed,1973358,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,2018
335,BetterPlace Safety Solutions Pvt. Ltd.,Human Resources,Series A,3000000,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",2018
336,Cashkumar,Consumer Lending,Seed,730873,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,2018
337,Rocketium,Marketing,Seed,292349,Bangalore,Easy video creation for social media.,2018
338,FreightBazaar,Transportation,Seed,0,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,2018
339,OPEN,Banking,Seed,0,Bangalore,Open up to a new world of Banking,2018
340,mfine,Health Care,Series A,4200000,Bengaluru,Hospital & Health Care Start up,2018
341,Earth Food,Food and Beverage,Seed,935518,Pune,Earth Food is a healthy Food Start Up.,2018
342,Charcoal Eats,Food Processing,Seed,730873,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,2018
343,Wishfie,Apps,Seed,0,Bangalore,A platform for people to express their opinions in form of short videos around any topic.,2018
344,The Social Hook,Marketing,Seed,0,Bengaluru,Fast growing Influencer Marketing platform in India.,2018
345,FreightBro,Apps,Seed,0,Mumbai,Software for the new-age freight,2018
346,Finwego,,Seed,0,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,2018
347,Cricnwin,Digital Entertainment,Seed,0,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,2018
349,Wicked Ride Adventure Services Private Limited,Automotive,Venture - Series Unknown,10000000,Bangalore,Peer-to-Peer motor vehicles sharing,2018
350,Career Anna,Commercial,Seed,584699,Bangalore,India's Go to Career Commerce Portal,2018
351,ERUDITUS Executive Education,Continuing Education,Series C,40000000,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",2018
352,Gaia Smart Cities,Smart Cities,Seed,0,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,2018
353,Square Off,Internet of Things,Seed,1100000,Mumbai,Delivering Imagination,2018
354,UrbanClap,Apps,Series D,50000000,Delhi,UrbanClap is India's leading managed marketplace for home services.,2018
355,Hospals,Medical,Seed,1500000,New Delhi,Hospals is a medical tourism company.,2018
356,Kogta Financial India Limited,Financial Services,Series B,22510901,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,2018
357,Perspectico,Career Planning,Seed,0,New Delhi,An Education Management startup.,2018
358,The Souled Store,Fashion,Venture - Series Unknown,3000000,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",2018
359,Hush - Speak Up. Make Work Better,Communities,Seed,657786,Bangalore,Enabling diversity of opinions in organizations,2018
360,Drivezy,Automotive,Debt Financing,100000000,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,2018
361,Freyr Energy,Energy,Series A,1500000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2018
362,NIRAMAI Health Analytix,Health Care,Seed,6000000,Bangalore,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,2018
363,CloudSek,Information Technology,Seed,2046446,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,2018
364,Lendbox,Crowdfunding,Seed,877048,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform.,2018
365,Verloop,Customer Service,Series A,3000000,Bangalore,Verloop is an automated customer support and engagement platform.,2018
366,Flickstree,Advertising,Seed,0,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",2018
367,Paymatrix,Credit Cards,Seed,100000,Hyderabad,India's Leading Property Rent management platform,2018
368,Idha Skin Clinic,Beauty,Seed,73087,Bangalore City,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,2018
369,InCred,Banking,Private Equity,41900000,Mumbai,InCred Finance is a mumbai-based non-banking financial company,2018
370,Vedantu,EdTech,Series B,11000000,Bangalore,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,2018
371,Sportido,Social Media,Seed,0,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,2018
372,Stelis Biopharma,Biopharma,Series B,100000000,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company,2018
373,Magicpin,E-Commerce,Series C,20610630,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",2018
374,Try & Buy,E-Commerce,Seed,0,New Delhi,Try & Buy,2018
375,Mech Mocha,Digital Entertainment,Series B,3530000,Bangalore,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,2018
376,Aye Finance,Finance,Debt Financing,1052458,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India.,2018
377,Aldopay,Mobile Payments,Seed,200000,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,2018
378,Detect Technologies,Artificial Intelligence,Series A,3300000,Chennai,Completely automated remote control system.,2018
