,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year
884,AjnaLens,2014,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",15000000,Pre series A,2020
885,Pepper,2017,Mumbai,Content Marktplace,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",3069000,Seed funding,2020
886,Rupeek,2015,Bangalore,Fintech,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",300000000,Seed,2020
887,iMerit,2012,Kolkata,IT,Turns information into data that is usable for machine learning processes,Radha Basu,CDC Group Plc,200000000,Series B,2020
888,BharatPe,2018,Delhi,Fintech,Digital payments platform,Ashneer Grover,Ribbit Capital,750000000,Series C,2020
889,Invideo,0,,Visual Media,Video production and editing platform,Sanket Shah,Sequoia Capital’s Surge,25000000,Seed,2020
890,AvalonMeta,2017,,Edtech,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,4200000,Seed,2020
891,Near Store,0,Mumbai,Ecommerce,Enables a shop to create an online presence,,Sauce.vc,3000000,Seed Round,2020
892,ElecTorq,0,Delhi,Automobile,Electric vehicle startup,Anubhav Sharma,AdvantEdge,0,Seed,2020
893,Prayaan Capital,0,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,12000000,Seed Round,2020
894,Sanfe,0,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",11000000,Pre series A,2020
895,Go Desi,2018,Delhi,Foodtech,Provides traditional delicacies,Vinay Kothari,Rukam Capital,6273000,Seed Round,2020
896,Swiggy,2014,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,1130000000,Series A,2020
897,Whatfix,2014,Banglore,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,320000000,Series C,2020
898,Unacademy,2010,Bangalore,Edtech,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",1100000000,Series E,2020
899,Zvesta,2015,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,55000000,Seed,2020
900,Dunzo,2014,Bangalore,Logistics,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,110000000,Seed,2020
901,Digit Insurance,0,Bangalore,Insurtech,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma",3400000,Seed,2020
902,Yolo,2019,Gurugram,Transport,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,6000000,Seed funding,2020
903,SmartVizX,2015,,VR & SaaS,It developed India’s first VR-based design communication and collaboration product Trezi,"Tithi Tewari, Gautam Tewari",Rockstud Capital,13970000,Pre series A,2020
904,MaxWholesale,2016,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",30000000,Series A,2020
905,Carbon Clean,2009,,Cleantech,Develops affordable carbon capture technology,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",160000000,Seed,2020
906,Onsitego,0,,Sales & Services,It offers post-purchase services through a network of brand authorised service centres throughout the country,Mahipal,Zodius Growth Fund,190000000,Series B,2020
907,Genius Corner,2014,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",2500000,Seed,2020
908,PlanetSpark,2016,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels",4485000,Seed,2020
909,CamCom,2017,Bangalore,AI & Deep learning,AI automation platform for enterprise quality control,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",0,Seed,2020
910,Simsim,0,Bangalore,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",80000000,Series B,2020
911,Shuttl,2015,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,79757000,Series C,2020
912,HooLiv,0,Delhi,Housing & Rentals,Student Co-living startup,"Chinmoy Mishra, Gaurav Vij, and Abhishek Verma",Kolte-Patil Family Office,0,Seed,2020
913,ClassMonitor,0,Indore,Edtech,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,0,Seed,2020
914,Friyey,0,Pune,Co-working,Co working space startup,Yogesh Thore,Tarun Bhalla,0,Seed,2020
915,Oga,0,Bangalore,Fitness,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,3300000,Seed,2020
916,Big Basket,0,Bangalore,Estore,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,35000000,Seed,2020
917,CYFIRMA,0,Bangalore,SaaS,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,0,Series A,2020
918,Innoviti,0,Bangalore,,Digital payments solutions company,Rajeev Agrawal,FMO,50000000,Seed,2020
919,Paytm money,2010,Bangalore,Fintech,Wealth Management,Vijay Shekhar Sharma,One97 Communications,56000000,Seed,2020
920,Vedantu,0,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,240000000,Series C,2020
921,Yap,0,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",14020000,Seed,2020
922,Clover,0,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",55000000,Series A,2020
923,Nova Credit,0,,Fintech,Cross-border consumer credit startup,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",500000000,Series B,2020
924,CodingNinjas,2016,Delhi,Edtech,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,52000000,Series A,2020
925,Furlenco,2011,Bangalore,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,22000000,Series C,2020
926,Brick&Bolt,2018,Bangalore,,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,15000000,Pre series A,2020
927,HempStreet,2019,,Healthtech,Manufacturer of ayurvedic medicines based on cannabis,Abhishek Mohan,Pharmacon Holdings,10000000,Pre series A,2020
928,MoEngage,0,Bangalore,Marketing,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,250000000,Series C,2020
929,Classplus,2018,,Edtech,It allows coaching centres to take their brick-and-mortar setup online,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",25000000,Pre series A,2020
930,Chaayos,2012,,Beverages,Provides customised range of tea,"Nitin Saluja, Raghav Verma",Think Investment,215000000,Seed,2020
931,PetPooja,2011,Ahmedabad,SaaS,Restaurant management software provider,Apurv Patel,Udaan,20000000,Seed,2020
932,Altor,0,,Tech,Makes helmets that are IoT and AI enabled,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,0,Seed,2020
933,Pepperfry,2013,Mumbai,E-market,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,400000000,Series F,2020
934,FirstCry,2010,Pune,E-market,Baby products marketplace,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,2960000000,Series E,2020
935,Byju,2011,,Edtech,Provides online learning classes,Byju Raveendran,General Atlantic,2000000000,Seed,2020
936,Waycool,2015,Chennai,Agritech,Food development and distribution services,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,320000000,Series C,2020
937,WorkIndia,0,,HR tech,An online and mobile-based platform that connects companies with blue collar employees.,Kunal Patil,Xiaomi,60000000,Seed,2020
938,Qyuki,0,Mumbai,Media,Multi-channel broadcast network,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,35000000,Seed,2020
939,Leap India,0,Coimbatore,Agritech,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,300000000,Series B,2020
940,Picxy,0,Hyderabad,Media,Stock photo industry,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",2500000,Seed,2020
941,Krimanshi,0,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,200000,Seed,2020
942,NEETprep,0,Delhi,Edtech,Provides crash course for NEET preparation,Kapil Gupta,IndiaQuotient,0,Seed,2020
943,Dot Pvt. Ltd,0,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,Shailaz Nag,"PayU, Fosun RZ Capital",80000000,Seed Round,2020
944,Kuku FM,0,Mumbai,Media,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,55000000,Series A,2020
945,SuperMoney,2018,Mumbai,Fintech,Provides financial tools for effective business making,Nikhil Banerjee,Unitus Ventures.,10000000,Pre series A,2020
946,Rebel Foods,0,,Food tech,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Alteria Capital,49000000,Seed,2020
947,AlphaVector,2015,Bangalore,E tailor,It sells modern age bicycles named FROG,Sachin Chopra,"Avaana Capital, Titan Capital",0,Seed,2020
948,Fox Capital,2019,Jaipur,Fintech,Digital lending startup,Rakesh Sharma,Institutional Investors,25000000,Seed,2020
949,Tribe Theory,0,Bangalore,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,Katie Russel and Daniel Wiegand,Tim Draper,35000000,Seed,2020
950,Fleetx,0,,SaaS,Fleet management and predictive analytics platform,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,14024000,Series A,2020
951,Embibe,0,Mumbai,Edtech,It provides AI-based data analytics to personalise learning outcomes,Aditi Avasthi,Reliance Industries Limited (RIL),126183000,Seed,2020
