,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year
0,Bombay Shaving,0,,Ecommerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000,,2019
1,Ruangguru,2014,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000,Series C,2019
2,Eduisfun,0,Mumbai,Edtech,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000,Fresh funding,2019
3,HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000,Series D,2019
4,Nu Genes,2004,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000,,2019
5,FlytBase,0,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,0,,2019
6,Finly,0,Bangalore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",0,,2019
7,Kratikal,2013,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000,Pre series A,2019
8,Quantiphi,0,,AI & Tech,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000,Series A,2019
9,Lenskart,2010,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000,Series G,2019
10,Cub McPaws,2010,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,0,,2019
11,Appnomic,0,Bangalore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000,,2019
12,Kaleidofin,2018,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000,Series A,2019
13,JobSquare,2019,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500,,2019
14,Open Secret,0,,Food tech,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,0,,2019
15,LivFin,2017,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000,,2019
16,Byju's,2011,,Edtech,Provides online learning classes,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000,,2019
17,Zest Money,2015,Bangalore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000,Series B,2019
18,Witblox,2014,,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700,,2019
19,Azah Personal Care Pvt. Ltd.,2018,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",0,Pre series A,2019
20,SalaryFits,2015,,Fintech,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000,,2019
21,Pristyn Care,2018,,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000,Series B,2019
22,Springboard,2013,,Edtech,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000,Post series A,2019
23,DROR Labs Pvt. Ltd,2018,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,0,,2019
24,Medlife,2014,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000,,2019
25,Seekify,2019,Delhi,SaaS,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000,Seed funding,2019
